,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
qs_overall_score,1.0,0.8271300365023463,0.6990157903664797,0.27717967289180834,0.4774577714405203,0.3690152147188877,0.3449283725281082,0.621516842902003,0.6217021912546535,0.8127813619496115,0.701760939519329,0.798349599213994,0.5336213952234636,0.5514210814794017,0.399564123440934,-0.16603881078387067,0.39901779341758464,-0.10185721425787529,0.12383314761953386,0.08406701548748526,0.08292677239179079,-0.16594950837742026,-0.06303707168835007,0.05565158497652193
qs_academic_reputation_score,0.8271300365023463,1.0,0.8181044460741107,0.30748066676397623,0.41692166025529376,0.3728810065535646,0.4403149936849988,0.65056679004961,0.7254992343971955,0.6753016287708988,0.6711358375311645,0.7057640505174337,0.5094848215137777,0.5680131985116312,0.4309224495480944,-0.104384730906034,0.37376991678075716,0.01274195015416981,0.037856478583350166,0.17265244740668065,0.02578501586749431,-0.2275609497735313,0.15680119380690866,-0.039278309661931715
qs_employer_reputation_score,0.6990157903664797,0.8181044460741107,1.0,0.2866565112536478,0.2946225892278746,0.3430440013971842,0.3936873415992145,0.6599103303327316,0.5998116822713571,0.5400530120012786,0.5205663499950008,0.5601625042320703,0.39710238692231253,0.44894744420200056,0.36396554446810103,-0.08878650345031147,0.3307088765264909,-0.1323474962727718,0.03744004493728136,0.10487977166929821,-0.06721503446528539,-0.14759138134417973,0.13167752759413404,-0.07346795630044112
qs_faculty_student_score,0.27717967289180834,0.30748066676397623,0.2866565112536478,1.0,0.06052512224600029,0.3063063703796261,0.233382563383552,0.1938984879666955,0.23203252481618483,0.2971041807766305,0.5271624266998776,0.3526905265084301,0.11469814489970717,0.3560174955273333,0.13167715165177496,-0.6616685578978297,0.27029952252242345,-0.10081705828804521,0.09932339180875235,0.16599291817656162,0.029628839264175845,-0.42197503241362644,0.17638939064018297,-0.12461285479208975
qs_citations_per_faculty_score,0.4774577714405203,0.41692166025529376,0.2946225892278746,0.06052512224600029,1.0,0.37831763556461584,0.41459638796892495,0.30912223017492113,0.639809895421931,0.8311120076746825,0.6504615319437598,0.8052741257396643,0.7633504136901139,0.7401751554452545,0.4392668972667188,0.0837546164365956,0.3915817379542981,-0.10840847468331019,0.16156739477060703,-0.028822193405837044,-0.037388954092633174,0.028968577355268407,0.17331550705885515,0.34393306791054923
qs_international_students_score,0.3690152147188877,0.3728810065535646,0.3430440013971842,0.3063063703796261,0.37831763556461584,1.0,0.6860706989087608,0.3269530168735301,0.4643719192223014,0.5688222706801925,0.38498253116817105,0.5066533730991994,0.4872316096324302,0.38080104220838057,0.8254621123346408,-0.018104004257825303,0.9681109508671537,0.09669173065921717,0.31150464005368167,0.3654212902396656,0.1421866486580764,-0.4314786720973909,0.3910570757551192,-0.21064303583053606
qs_international_faculty_score,0.3449283725281082,0.4403149936849988,0.3936873415992145,0.233382563383552,0.41459638796892495,0.6860706989087608,1.0,0.3530332454800492,0.47235673842879516,0.6113814694764408,0.37335390118044826,0.5219314951341032,0.576822672927134,0.38184828859415604,0.8427869460639346,0.0372782736803595,0.6856368114088596,0.13747976513973426,0.07142938948561162,0.1613052802508582,0.08208972290384448,-0.261277638674126,0.21962194819907505,-0.15976695446307923
qs_employment_outcomes_score,0.621516842902003,0.65056679004961,0.6599103303327316,0.1938984879666955,0.30912223017492113,0.3269530168735301,0.3530332454800492,1.0,0.5318840081699524,0.5146713903516319,0.4820176601072314,0.5107548200805442,0.41965544658374737,0.38981341853083523,0.3604099124638535,-0.02031514600705592,0.30604695423780676,0.08797762680423013,0.0802924239358811,0.17035866240443173,0.1362843982717362,-0.20616496659438477,0.07189901571244874,-0.1982838520471827
qs_sustainability_score,0.6217021912546535,0.7254992343971955,0.5998116822713571,0.23203252481618483,0.639809895421931,0.4643719192223014,0.47235673842879516,0.5318840081699524,1.0,0.7160227614147985,0.5621295967547422,0.714235568916929,0.6133757164597119,0.6119774605977576,0.5322770738666041,0.08128103856147224,0.47305302335451227,0.06579916197523192,0.2466144580897886,0.22368022324560433,0.05671092457314422,-0.17582634174097897,0.26267148456331557,0.08473264365792088
the_overall_score_2024,0.8127813619496115,0.6753016287708988,0.5400530120012786,0.2971041807766305,0.8311120076746825,0.5688222706801925,0.6113814694764408,0.5146713903516319,0.7160227614147985,1.0,0.7313975109237075,0.8615209920953597,0.9139407929007239,0.7547422052214071,0.6743688002398416,-0.029892801396536182,0.575283017566944,0.05709227081779221,0.18300219629510733,0.1058333283522562,0.06852888862900854,-0.3051829629682657,0.23199159255228355,0.14629679235333473
