wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
TUR,Turkey,Europe & Central Asia,Upper middle income,94.7322998046875,,45.9554710388184,,99.49439,
KOR,Korea,East Asia & Pacific,High income: OECD,93.1791381835938,,40.7566299438477,,,
ESP,Spain,Europe & Central Asia,High income: OECD,89.6701431274414,51.223751068115206,53.14381027221669,12.5089902877808,99.65568000000002,438616.0
CHL,Chile,Latin America & Caribbean,High income: OECD,88.577293395996,,51.902889251709,,,
BLR,Belarus,Europe & Central Asia,Upper middle income,87.9407424926758,,55.635440826416,14.5663003921509,,127520.0
FIN,Finland,Europe & Central Asia,High income: OECD,87.28970336914058,53.0008697509766,53.594970703125,,,56829.0
USA,United States,North America,High income: OECD,85.7957763671875,,56.2370185852051,,,
NZL,New Zealand,East Asia & Pacific,High income: OECD,83.9313201904297,55.9750099182129,56.52967834472659,,,72746.0
IRL,Ireland,Europe & Central Asia,High income: OECD,83.7777862548828,,50.907600402832,,,
DNK,Denmark,Europe & Central Asia,High income: OECD,82.7869720458984,,57.0733299255371,8.46296977996826,,74428.0
AUT,Austria,Europe & Central Asia,High income: OECD,81.5405120849609,34.8578910827637,53.2282218933105,6.995240211486819,,83587.0859375
RUS,Russia,Europe & Central Asia,High income: nonOECD,80.3940811157227,,53.433479309082,,,
NOR,Norway,Europe & Central Asia,High income: OECD,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0
MAC,"Macao SAR, China",East Asia & Pacific,High income: nonOECD,75.5988464355469,53.4912300109863,56.29975891113279,15.2709703445435,,6674.0
BEL,Belgium,Europe & Central Asia,High income: OECD,75.0368270874023,,55.8789100646973,,,
BGR,Bulgaria,Europe & Central Asia,Upper middle income,73.934196472168,49.56098937988279,54.5615196228027,,,62718.0
IRN,Iran,Middle East & North Africa,Upper middle income,71.8811416625977,32.0686416625977,45.8151702880859,15.25767993927,,738260.0
EST,Estonia,Europe & Central Asia,High income: OECD,69.5504302978516,,58.8057403564453,,,10491.0
HRV,Croatia,Europe & Central Asia,High income: nonOECD,69.052490234375,48.5432395935059,56.4713401794434,10.0503702163696,,36144.0
MNG,Mongolia,East Asia & Pacific,Lower middle income,68.5670166015625,,57.4323310852051,20.2595405578613,,35181.0
