wb_country_code,wb_country_name,wb_region,wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,46.039909362793,67.1917724609375,55.4981384277344,12.975190162658699,,241472.0
SVN,Slovenia,Europe & Central Asia,High income: OECD,,60.7241401672363,,,,18631.0
LTU,Lithuania,Europe & Central Asia,High income: nonOECD,,57.47573852539059,57.5741806030273,10.7555599212646,,32205.0
NZL,New Zealand,East Asia & Pacific,High income: OECD,83.9313201904297,55.9750099182129,56.52967834472659,,,72746.0
MAC,"Macao SAR, China",East Asia & Pacific,High income: nonOECD,75.5988464355469,53.4912300109863,56.29975891113279,15.2709703445435,,6674.0
FIN,Finland,Europe & Central Asia,High income: OECD,87.28970336914058,53.0008697509766,53.594970703125,,,56829.0
PRT,Portugal,Europe & Central Asia,High income: OECD,61.874191284179695,51.4120712280273,53.2700119018555,10.4342699050903,,74757.0
CHE,Switzerland,Europe & Central Asia,High income: OECD,57.672191619873004,51.3324813842773,49.8023414611816,,,86178.0
ESP,Spain,Europe & Central Asia,High income: OECD,89.6701431274414,51.223751068115206,53.14381027221669,12.5089902877808,99.65568000000002,438616.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,53.6296615600586,50.3252410888672,55.6451683044434,,,49778.0
BGR,Bulgaria,Europe & Central Asia,Upper middle income,73.934196472168,49.56098937988279,54.5615196228027,,,62718.0
HRV,Croatia,Europe & Central Asia,High income: nonOECD,69.052490234375,48.5432395935059,56.4713401794434,10.0503702163696,,36144.0
NLD,Netherlands,Europe & Central Asia,High income: OECD,,48.2467498779297,52.307559967041,13.4636602401733,,
POL,Poland,Europe & Central Asia,High income: OECD,,47.6031112670898,,,,516675.0
NOR,Norway,Europe & Central Asia,High income: OECD,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0
FRA,France,Europe & Central Asia,High income: OECD,,47.0227584838867,,,,752068.0
ROU,Romania,Europe & Central Asia,Upper middle income,53.2202186584473,45.1505699157715,53.663688659668,19.5035591125488,,133478.0
SVK,Slovak Republic,Europe & Central Asia,High income: OECD,,40.2954902648926,,,,61054.0
CZE,Czech Republic,Europe & Central Asia,High income: OECD,64.9667129516602,39.0339508056641,57.2906188964844,,,98119.0
ARM,Armenia,Europe & Central Asia,Lower middle income,44.3095016479492,37.4854888916016,54.2729797363281,6.86901998519897,,
