variable,spearman_correlation,absolute_correlation
the_citations_score_2024,0.9139407929007239,0.9139407929007239
the_research_score_2024,0.8615209920953597,0.8615209920953597
qs_citations_per_faculty_score,0.8311120076746825,0.8311120076746825
qs_overall_score,0.8127813619496115,0.8127813619496115
the_industry_income_score_2024,0.7547422052214071,0.7547422052214071
the_teaching_score_2024,0.7313975109237075,0.7313975109237075
qs_sustainability_score,0.7160227614147985,0.7160227614147985
qs_academic_reputation_score,0.6753016287708988,0.6753016287708988
the_international_outlook_score_2024,0.6743688002398416,0.6743688002398416
qs_international_faculty_score,0.6113814694764408,0.6113814694764408
the_international_students_pct_2024,0.575283017566944,0.575283017566944
qs_international_students_score,0.5688222706801925,0.5688222706801925
qs_employer_reputation_score,0.5400530120012786,0.5400530120012786
qs_employment_outcomes_score,0.5146713903516319,0.5146713903516319
wb_tertiary_pupil_teacher_ratio_2015,-0.3051829629682657,0.3051829629682657
qs_faculty_student_score,0.2971041807766305,0.2971041807766305
wb_youth_literacy_15_24_pct_2015,0.23199159255228355,0.23199159255228355
wb_tertiary_enrollment_ratio_2015,0.18300219629510733,0.18300219629510733
wb_tertiary_graduates_2015,0.14629679235333473,0.14629679235333473
wb_tertiary_graduation_ratio_2015,0.1058333283522562,0.1058333283522562
wb_female_tertiary_students_pct_2015,0.06852888862900854,0.06852888862900854
the_female_percentage_2024,0.05709227081779221,0.05709227081779221
the_student_staff_ratio_2024,-0.029892801396536182,0.029892801396536182
